Date,MaxT,MinT,Pcpn,Snow,Snwg
2/19/2016,69,47,0,0,0
2/20/2016,73,44,0,0,0
2/21/2016,79,45,0,0,0
2/22/2016,83,53,0,0,0
2/23/2016,81,54,0,0,0
2/24/2016,79,57,0,0,0
2/25/2016,83,48,0,0,0
2/26/2016,82,49,0,0,0
2/27/2016,82,51,0,0,0
2/28/2016,81,53,0,0,0
2/29/2016,85,54,0,0,0
3/1/2016,83,53,0,0,0
3/2/2016,79,51,0,0,0
3/3/2016,77,52,0,0,0
3/4/2016,73,49,0,0,0
3/5/2016,64,57,0.03,0,0
3/6/2016,67,51,0.82,0,0
3/7/2016,59,46,0.43,M,0
3/8/2016,71,48,0,0,0
3/9/2016,78,48,0,0,0
3/10/2016,80,52,0,0,0
3/11/2016,65,48,0.43,M,0
3/12/2016,65,42,0,0,0
3/13/2016,63,47,0,0,0
3/14/2016,74,55,T,0,0
3/15/2016,83,50,0,0,0
3/16/2016,85,54,0,0,0
3/17/2016,83,53,0,0,0
3/18/2016,78,56,0,0,0
3/19/2016,78,54,0,0,0
3/20/2016,78,52,0,0,0
3/21/2016,70,52,0,0,0
3/22/2016,68,49,0,0,0
3/23/2016,78,55,0,0,0
3/24/2016,84,50,0,0,0
3/25/2016,81,59,0,0,0
3/26/2016,82,54,0,0,0
3/27/2016,76,55,0,0,0
3/28/2016,66,51,T,0,0
3/29/2016,64,44,0,0,0
3/30/2016,65,46,T,M,0
3/31/2016,75,46,0,0,0
4/1/2016,75,48,0,0,0
4/2/2016,84,52,0,0,0
4/3/2016,84,53,0,0,0
4/4/2016,85,54,0,0,0
4/5/2016,91,56,0,0,0
4/6/2016,95,58,0,0,0
4/7/2016,70,58,0.07,0,0
4/8/2016,61,57,0.06,0,0
4/9/2016,63,56,0.05,0,0
4/10/2016,70,51,0,0,0
4/11/2016,75,56,T,0,0
4/12/2016,75,52,0,0,0
4/13/2016,75,54,0,0,0
4/14/2016,75,54,0,0,0
4/15/2016,76,55,0,0,0
4/16/2016,88,62,0,0,0
4/17/2016,91,60,0,0,0
4/18/2016,89,54,0,0,0
4/19/2016,91,57,0,0,0
4/20/2016,88,56,0,0,0
4/21/2016,86,53,0,0,0
4/22/2016,77,55,0,0,0
4/23/2016,80,55,0,0,0
4/24/2016,76,55,0,0,0
4/25/2016,70,52,T,0,0
4/26/2016,71,49,0,0,0
4/27/2016,75,52,0,0,0
4/28/2016,73,50,0,0,0
4/29/2016,72,53,0,0,0
4/30/2016,72,54,0,0,0
5/1/2016,75,54,0,0,0
5/2/2016,85,55,0,0,0
5/3/2016,88,58,0,0,0
5/4/2016,74,56,0,0,0
5/5/2016,66,57,0,0,0
5/6/2016,68,55,0.22,0,0
5/7/2016,67,54,0.01,0,0
5/8/2016,70,53,0,0,0
5/9/2016,71,53,0,0,0
5/10/2016,75,53,0,0,0
5/11/2016,84,56,0,0,0
5/12/2016,89,56,0,0,0
5/13/2016,87,57,0,0,0
5/14/2016,77,59,0,0,0
5/15/2016,73,58,0,0,0
5/16/2016,75,57,0,0,0
5/17/2016,78,59,0,0,0
5/18/2016,81,56,0,0,0
5/19/2016,76,59,0,0,0
5/20/2016,69,56,0,0,0
5/21/2016,69,53,0,0,0
5/22/2016,75,50,0,0,0
5/23/2016,73,53,0,0,0
5/24/2016,71,56,0,0,0
5/25/2016,72,54,0,0,0
5/26/2016,76,55,0,0,0
5/27/2016,81,55,0,0,0
5/28/2016,79,58,0,0,0
5/29/2016,75,58,0,0,0
5/30/2016,78,55,0,0,0
5/31/2016,80,57,0,0,0
6/1/2016,80,60,0,0,0
6/2/2016,94,61,0,0,0
6/3/2016,101,61,0,0,0
6/4/2016,98,63,0,0,0
6/5/2016,85,60,0,0,0
6/6/2016,80,57,0,0,0
6/7/2016,82,58,0,0,0
6/8/2016,87,57,0,0,0
6/9/2016,81,60,0,0,0
6/10/2016,82,61,0,0,0
6/11/2016,65,61,T,0,0
6/12/2016,73,59,T,0,0
6/13/2016,76,57,0,0,0
6/14/2016,76,57,0,0,0
6/15/2016,75,60,0,0,0
6/16/2016,82,56,0,0,0
6/17/2016,91,59,0,0,0
6/18/2016,98,62,0,0,0
6/19/2016,109,67,0,0,0
6/20/2016,114,74,0,0,0
6/21/2016,95,71,0,0,0
6/22/2016,94,67,0,0,0
6/23/2016,89,62,0,0,0
6/24/2016,85,62,0,0,0
6/25/2016,93,62,0,0,0
6/26/2016,101,64,0,0,0
6/27/2016,100,68,0,0,0
6/28/2016,101,70,0,0,0
6/29/2016,96,68,0,0,0
6/30/2016,91,64,0,0,0
7/1/2016,85,64,0,0,0
7/2/2016,87,63,0,0,0
7/3/2016,84,61,0,0,0
7/4/2016,84,60,0,0,0
7/5/2016,84,61,0,0,0
7/6/2016,83,61,0,0,0
7/7/2016,87,61,0,0,0
7/8/2016,90,60,0,0,0
7/9/2016,91,64,0,0,0
